age, job , marital , education , default , balance , housing , loan , contact , day , month , duration , campaign , pdays , previous , poutcome , y 
37, technician , single , secondary , no ,-59, yes , no , cellular ,22, jul ,70,1,-1,0, unknown , no 
58, admin. , married , secondary , no ,5680, no , yes , cellular ,18, nov ,237,2,-1,0, unknown , no 
43, blue-collar , married , secondary , no ,408, yes , no , unknown ,14, sep ,6,1,838,3, other , no 
45, management , married , tertiary , no ,1416, yes , yes , cellular ,19, nov ,740,1,-1,0, unknown , no 
35, technician , single , secondary , no ,1609, yes , no , unknown ,30, may ,288,3,-1,0, unknown , no 
42, housemaid , married , secondary , no ,808, yes , no , cellular ,9, jul ,121,1,-1,0, unknown , no 
33, management , married , tertiary , no ,89, yes , no , cellular ,30, jul ,61,4,-1,0, unknown , no 
28, student , single , secondary , no ,2015, no , no , cellular ,26, jul ,110,2,182,2, failure , no 
33, management , married , tertiary , no ,335, no , no , cellular ,12, may ,527,2,-1,0, unknown , no 
37, entrepreneur , married , tertiary , yes ,-456, yes , yes , unknown ,20, jun ,42,7,-1,0, unknown , no 
33, management , married , tertiary , no ,7, yes , no , telephone ,24, jul ,780,1,-1,0, unknown , no 
49, blue-collar , married , secondary , no ,26, yes , no , unknown ,6, may ,276,2,-1,0, unknown , no 
56, management , divorced , tertiary , no ,2126, yes , no , cellular ,17, nov ,131,1,-1,0, unknown , no 
36, management , single , tertiary , no ,1027, yes , no , cellular ,4, jun ,151,1,-1,0, unknown , no 
37, management , single , unknown , no ,504, yes , no , cellular ,16, apr ,555,1,-1,0, unknown , no 
34, admin. , married , secondary , no ,155, no , no , cellular ,5, feb ,696,2,-1,0, unknown , yes 
46, admin. , divorced , secondary , no ,289, no , yes , cellular ,21, jul ,76,3,-1,0, unknown , no 
42, management , married , tertiary , no ,1162, yes , no , cellular ,13, may ,406,5,364,1, other , no 
30, management , single , tertiary , no ,0, no , no , cellular ,6, feb ,108,4,-1,0, unknown , no 
37, housemaid , married , secondary , no ,1558, no , no , cellular ,6, aug ,499,2,-1,0, unknown , no 
38, unemployed , married , secondary , no ,205, yes , no , unknown ,20, may ,359,2,-1,0, unknown , no 
46, admin. , married , primary , no ,-335, yes , no , unknown ,3, jun ,272,1,-1,0, unknown , no 
45, technician , married , secondary , no ,760, no , no , cellular ,7, aug ,95,2,-1,0, unknown , no 
52, blue-collar , married , secondary , no ,3429, yes , no , cellular ,17, apr ,516,1,-1,0, unknown , no 
39, blue-collar , married , primary , no ,867, yes , no , unknown ,7, may ,481,1,-1,0, unknown , no 
37, admin. , single , secondary , no ,0, no , no , cellular ,21, nov ,232,2,-1,0, unknown , no 
30, blue-collar , single , secondary , yes ,447, no , no , cellular ,19, nov ,426,2,189,6, failure , no 
35, management , married , tertiary , no ,-4, no , no , cellular ,8, aug ,129,2,-1,0, unknown , no 
45, blue-collar , divorced , primary , no ,104, yes , no , unknown ,16, may ,206,4,-1,0, unknown , no 
34, admin. , married , secondary , no ,-312, yes , no , unknown ,9, may ,232,1,-1,0, unknown , no 
39, entrepreneur , married , tertiary , no ,36, yes , no , unknown ,26, may ,488,3,-1,0, unknown , no 
36, services , married , primary , no ,92, yes , no , cellular ,5, jun ,244,7,-1,0, unknown , yes 
60, technician , married , secondary , no ,21, no , no , telephone ,9, feb ,172,4,-1,0, unknown , no 
30, management , married , tertiary , no ,302, yes , yes , unknown ,23, may ,302,1,-1,0, unknown , no 
26, management , single , tertiary , no ,531, no , yes , unknown ,27, may ,57,1,-1,0, unknown , no 
29, entrepreneur , single , tertiary , no ,1028, no , no , cellular ,3, feb ,667,2,-1,0, unknown , no 
34, student , married , tertiary , no ,387, yes , no , unknown ,26, may ,52,3,-1,0, unknown , no 
52, services , married , secondary , no ,2257, yes , no , unknown ,14, may ,203,1,-1,0, unknown , no 
24, services , single , secondary , no ,414, yes , no , cellular ,18, may ,493,1,370,1, other , yes 
57, management , married , tertiary , no ,101, no , yes , cellular ,23, jul ,99,2,-1,0, unknown , no 
35, management , married , tertiary , no ,436, no , yes , cellular ,28, jan ,507,1,184,4, failure , no 
27, admin. , single , tertiary , no ,954, no , no , cellular ,29, jan ,186,1,-1,0, unknown , no 
33, admin. , married , secondary , no ,1467, yes , no , unknown ,20, may ,85,2,-1,0, unknown , no 
33, unemployed , single , tertiary , no ,0, yes , no , cellular ,6, may ,124,1,-1,0, unknown , no 
29, management , married , tertiary , no ,482, no , no , cellular ,22, apr ,79,1,-1,0, unknown , no 
32, management , single , tertiary , no ,2915, no , no , cellular ,8, sep ,519,1,131,2, failure , yes 
31, technician , divorced , secondary , no ,10787, yes , no , unknown ,4, jun ,135,2,-1,0, unknown , no 
25, management , single , tertiary , no ,490, yes , no , unknown ,6, jun ,246,3,-1,0, unknown , no 
46, technician , married , secondary , no ,499, yes , no , cellular ,31, jul ,37,10,-1,0, unknown , no 
41, technician , single , secondary , no ,134, no , yes , cellular ,11, aug ,153,4,-1,0, unknown , no 
59, services , married , primary , no ,124, no , no , unknown ,17, jun ,41,2,-1,0, unknown , no 
26, admin. , married , tertiary , no ,319, no , no , cellular ,15, oct ,88,1,-1,0, unknown , no 
54, blue-collar , married , primary , no ,551, yes , no , cellular ,28, jul ,431,2,-1,0, unknown , no 
55, management , married , tertiary , no ,543, no , no , cellular ,7, aug ,61,2,-1,0, unknown , no 
34, blue-collar , married , secondary , no ,808, yes , yes , cellular ,17, jul ,20,3,-1,0, unknown , no 
56, admin. , divorced , primary , no ,0, no , yes , cellular ,10, jul ,542,1,-1,0, unknown , no 
37, unemployed , divorced , tertiary , no ,1592, yes , no , cellular ,16, apr ,60,1,-1,0, unknown , no 
39, blue-collar , married , secondary , no ,-220, yes , no , cellular ,14, may ,282,1,352,2, failure , no 
59, retired , married , primary , no ,0, no , no , unknown ,16, jun ,39,1,-1,0, unknown , no 
60, retired , divorced , secondary , no ,1382, no , no , cellular ,30, jul ,112,10,-1,0, unknown , no 
29, management , single , tertiary , no ,308, no , no , cellular ,4, aug ,313,1,-1,0, unknown , no 
57, blue-collar , married , secondary , no ,166, no , no , cellular ,4, aug ,58,1,-1,0, unknown , no 
35, technician , married , secondary , no ,545, yes , no , cellular ,16, apr ,1579,1,234,4, failure , yes 
53, admin. , married , secondary , no ,3765, no , no , unknown ,20, jun ,1094,3,-1,0, unknown , yes 
24, student , single , secondary , no ,1234, no , no , telephone ,26, oct ,280,2,97,3, success , no 
27, blue-collar , single , secondary , no ,0, yes , no , unknown ,21, may ,504,1,-1,0, unknown , no 
34, housemaid , married , tertiary , no ,4958, yes , no , cellular ,19, nov ,175,1,183,1, failure , no 
31, services , married , primary , no ,997, yes , no , cellular ,3, feb ,256,1,190,3, failure , no 
53, management , divorced , tertiary , no ,6388, yes , no , telephone ,23, jul ,203,2,-1,0, unknown , no 
36, unemployed , married , secondary , yes ,-318, yes , no , unknown ,15, may ,133,2,-1,0, unknown , no 
39, management , married , tertiary , no ,246, yes , no , cellular ,25, may ,217,1,306,8, failure , no 
45, blue-collar , married , primary , no ,61, no , no , cellular ,17, apr ,108,1,-1,0, unknown , no 
36, management , married , tertiary , no ,612, no , no , cellular ,25, jul ,153,2,-1,0, unknown , no 
22, student , single , unknown , no ,1215, no , no , cellular ,19, feb ,145,3,192,1, failure , yes 
22, student , single , unknown , no ,1232, no , no , cellular ,30, jul ,283,1,430,2, other , yes 
51, blue-collar , married , primary , no ,-637, yes , yes , cellular ,19, nov ,233,2,-1,0, unknown , no 
59, blue-collar , married , primary , no ,99, yes , no , cellular ,5, feb ,43,1,261,3, failure , no 
28, blue-collar , married , secondary , no ,224, yes , no , unknown ,19, may ,571,5,-1,0, unknown , no 
32, blue-collar , single , secondary , no ,338, yes , no , unknown ,13, may ,73,3,-1,0, unknown , no 
27, services , single , secondary , no ,339, no , no , cellular ,4, jun ,182,1,-1,0, unknown , yes 
41, blue-collar , divorced , primary , no ,320, yes , no , cellular ,2, feb ,844,2,252,1, failure , no 
41, management , married , tertiary , no ,9, yes , no , cellular ,22, jul ,82,3,-1,0, unknown , no 
46, management , married , secondary , no ,1098, no , no , cellular ,8, may ,99,3,343,3, other , no 
41, services , married , secondary , no ,428, no , no , cellular ,31, jul ,38,2,-1,0, unknown , no 
47, entrepreneur , married , tertiary , no ,362, yes , no , unknown ,27, may ,97,5,-1,0, unknown , no 
31, admin. , single , secondary , no ,6042, yes , no , unknown ,19, may ,228,1,-1,0, unknown , no 
39, technician , married , secondary , no ,625, yes , no , cellular ,17, apr ,185,1,317,2, failure , no 
47, retired , married , primary , yes ,-13, no , no , unknown ,13, may ,295,1,-1,0, unknown , no 
34, blue-collar , married , secondary , no ,120, yes , no , unknown ,21, may ,369,1,-1,0, unknown , no 
29, admin. , single , secondary , no ,1751, no , no , cellular ,30, jan ,150,1,-1,0, unknown , no 
54, management , divorced , secondary , no ,-415, yes , no , unknown ,26, may ,290,2,-1,0, unknown , no 
44, self-employed , divorced , secondary , no ,80, yes , yes , unknown ,14, may ,387,2,-1,0, unknown , no 
29, technician , married , secondary , no ,492, yes , no , cellular ,9, jul ,259,1,-1,0, unknown , no 
26, services , married , secondary , no ,2063, yes , yes , cellular ,10, jul ,221,1,-1,0, unknown , no 
26, technician , single , tertiary , no ,1972, yes , no , cellular ,29, jan ,221,2,-1,0, unknown , no 
21, blue-collar , single , secondary , no ,820, yes , no , unknown ,27, jun ,302,2,-1,0, unknown , no 
29, services , single , primary , no ,95, yes , no , unknown ,13, may ,266,2,-1,0, unknown , no 
34, management , single , tertiary , no ,5086, no , no , cellular ,25, may ,213,4,-1,0, unknown , yes 
53, technician , divorced , secondary , no ,2156, yes , no , cellular ,23, jul ,671,4,-1,0, unknown , no 
52, blue-collar , divorced , primary , no ,2800, no , no , unknown ,19, jun ,149,1,-1,0, unknown , no 
35, admin. , married , secondary , no ,216, yes , yes , cellular ,17, nov ,70,3,-1,0, unknown , no 
39, management , married , tertiary , no ,351, yes , no , unknown ,20, may ,999,3,-1,0, unknown , no 
29, admin. , married , secondary , no ,301, yes , no , unknown ,2, jun ,150,5,-1,0, unknown , no 
31, self-employed , single , tertiary , no ,1536, yes , no , cellular ,13, may ,388,1,-1,0, unknown , no 
28, admin. , single , secondary , no ,377, no , no , cellular ,30, apr ,571,1,-1,0, unknown , yes 
41, admin. , married , unknown , no ,488, no , no , cellular ,21, nov ,174,1,-1,0, unknown , no 
29, admin. , single , secondary , no ,-309, yes , yes , unknown ,4, jun ,215,1,-1,0, unknown , no 
33, technician , married , secondary , no ,1844, yes , yes , cellular ,18, may ,380,1,-1,0, unknown , no 
42, blue-collar , divorced , secondary , no ,667, yes , no , cellular ,15, jul ,419,8,-1,0, unknown , no 
51, admin. , divorced , secondary , no ,520, no , yes , cellular ,10, jul ,157,1,-1,0, unknown , no 
53, admin. , married , secondary , no ,578, no , no , cellular ,29, aug ,59,2,-1,0, unknown , no 
37, technician , married , secondary , no ,5287, yes , yes , cellular ,19, nov ,599,4,100,2, failure , no 
32, housemaid , married , tertiary , no ,10, yes , no , unknown ,2, jun ,658,2,-1,0, unknown , no 
80, retired , married , secondary , no ,8304, no , no , telephone ,6, apr ,681,1,118,11, success , no 
46, technician , divorced , tertiary , no ,7318, no , no , unknown ,20, jun ,11,5,-1,0, unknown , no 
40, blue-collar , married , primary , no ,0, no , no , cellular ,24, jul ,313,1,-1,0, unknown , no 
31, blue-collar , married , secondary , no ,823, yes , no , cellular ,5, feb ,152,2,-1,0, unknown , no 
47, blue-collar , married , primary , no ,1452, yes , yes , cellular ,4, aug ,166,2,-1,0, unknown , no 
33, blue-collar , married , primary , no ,1002, yes , no , cellular ,20, apr ,92,2,325,4, failure , no 
33, management , single , tertiary , no ,2294, yes , no , cellular ,18, may ,81,1,178,1, other , no 
52, management , married , tertiary , no ,1319, yes , no , cellular ,17, nov ,113,1,-1,0, unknown , no 
45, services , married , secondary , no ,0, yes , yes , unknown ,23, may ,268,1,-1,0, unknown , no 
48, management , single , tertiary , no ,3713, yes , yes , cellular ,18, nov ,157,2,-1,0, unknown , no 
50, entrepreneur , divorced , tertiary , no ,315, no , no , cellular ,12, jul ,101,2,185,2, failure , no 
28, entrepreneur , married , secondary , no ,490, yes , no , cellular ,17, apr ,728,1,316,3, other , no 
35, management , single , tertiary , no ,996, no , no , unknown ,20, jun ,17,2,-1,0, unknown , no 
45, blue-collar , married , secondary , no ,521, yes , no , unknown ,17, jun ,259,3,-1,0, unknown , no 
29, admin. , single , secondary , no ,788, yes , no , cellular ,18, jul ,264,2,-1,0, unknown , no 
29, entrepreneur , married , secondary , no ,926, yes , no , cellular ,15, jul ,169,2,-1,0, unknown , no 
59, retired , divorced , secondary , no ,284, no , yes , unknown ,4, jun ,265,2,-1,0, unknown , no 
51, blue-collar , married , primary , no ,3754, no , yes , cellular ,13, aug ,202,3,-1,0, unknown , no 
37, blue-collar , single , primary , no ,554, yes , no , cellular ,30, jul ,74,3,-1,0, unknown , no 
34, admin. , single , secondary , no ,296, no , no , cellular ,20, nov ,68,1,136,4, failure , no 
74, retired , married , primary , no ,1765, no , no , telephone ,11, sep ,290,2,-1,0, unknown , yes 
48, blue-collar , single , secondary , no ,339, no , yes , telephone ,14, jul ,123,4,-1,0, unknown , no 
33, blue-collar , married , primary , no ,3074, no , no , cellular ,18, nov ,679,1,-1,0, unknown , no 
58, blue-collar , married , primary , no ,3109, no , no , cellular ,29, jun ,295,1,287,4, success , yes 
60, retired , married , tertiary , no ,6684, yes , yes , cellular ,5, feb ,173,1,-1,0, unknown , no 
32, technician , married , secondary , no ,580, yes , no , cellular ,18, may ,8,4,279,2, other , no 
30, blue-collar , married , primary , no ,1101, yes , yes , cellular ,2, jul ,590,1,225,3, failure , no 
46, blue-collar , married , primary , no ,248, no , yes , cellular ,6, aug ,196,2,-1,0, unknown , no 
38, management , married , secondary , no ,16236, yes , no , cellular ,21, nov ,139,3,-1,0, unknown , no 
36, technician , single , secondary , no ,333, no , no , cellular ,7, aug ,44,2,-1,0, unknown , no 
38, blue-collar , married , secondary , no ,961, yes , no , unknown ,16, may ,346,1,-1,0, unknown , no 
34, management , married , secondary , yes ,879, yes , no , cellular ,17, apr ,712,1,344,1, failure , yes 
60, retired , divorced , primary , no ,61, yes , no , telephone ,23, jul ,197,2,-1,0, unknown , no 
36, admin. , married , secondary , no ,0, yes , yes , cellular ,9, feb ,101,2,-1,0, unknown , no 
34, management , single , tertiary , no ,-184, yes , yes , cellular ,15, may ,80,3,352,1, other , no 
82, retired , divorced , primary , no ,0, no , no , cellular ,6, aug ,381,3,295,1, failure , no 
52, technician , single , secondary , no ,1262, no , yes , cellular ,17, nov ,216,1,-1,0, unknown , no 
32, blue-collar , married , secondary , no ,489, yes , no , cellular ,7, may ,103,2,349,4, failure , no 
45, blue-collar , married , secondary , no ,1144, yes , no , unknown ,22, oct ,676,1,-1,0, unknown , yes 
38, blue-collar , married , secondary , no ,194, yes , no , cellular ,17, apr ,576,4,340,7, failure , no 
48, technician , married , secondary , no ,71, no , no , unknown ,20, jun ,524,4,-1,0, unknown , no 
38, technician , married , secondary , no ,205, no , no , cellular ,26, may ,332,1,-1,0, unknown , yes 
39, admin. , married , primary , no ,444, yes , no , cellular ,8, may ,374,2,-1,0, unknown , no 
37, management , married , tertiary , no ,1403, yes , no , cellular ,10, jul ,91,15,-1,0, unknown , no 
45, unemployed , married , primary , no ,0, yes , no , cellular ,2, feb ,570,2,-1,0, unknown , no 
45, technician , married , primary , no ,-158, yes , no , cellular ,12, may ,317,2,-1,0, unknown , no 
44, management , married , secondary , no ,8262, yes , no , cellular ,6, apr ,150,1,257,16, failure , no 
52, technician , single , secondary , no ,-181, yes , no , unknown ,7, may ,94,2,-1,0, unknown , no 
30, management , single , tertiary , no ,623, yes , no , unknown ,13, may ,159,2,-1,0, unknown , no 
27, unemployed , single , primary , no ,93, no , no , unknown ,11, oct ,4,1,-1,0, unknown , no 
31, self-employed , single , secondary , no ,360, yes , no , unknown ,26, may ,592,4,-1,0, unknown , no 
33, technician , married , secondary , no ,79, no , no , cellular ,29, aug ,144,3,-1,0, unknown , no 
28, blue-collar , single , secondary , no ,402, yes , no , cellular ,18, may ,632,1,-1,0, unknown , no 
64, retired , married , unknown , no ,2923, no , no , cellular ,12, mar ,120,1,-1,0, unknown , no 
26, technician , single , tertiary , no ,468, yes , no , cellular ,14, may ,221,2,364,1, failure , no 
34, admin. , married , secondary , no ,3185, yes , no , cellular ,20, nov ,93,1,191,1, failure , no 
30, management , single , tertiary , no ,640, no , no , cellular ,6, feb ,124,4,213,2, failure , no 
